Community Area Name,Cases,Reported Cases,Year,Gender,STI Name
NEAR NORTH SIDE,CASES 2002 MALE 15-44,114,2002,MALE,CHL
EDISON PARK,CASES 2002 MALE 15-44,0,2002,MALE,CHL
NORWOOD PARK,CASES 2002 MALE 15-44,5,2002,MALE,CHL
JEFFERSON PARK,CASES 2002 MALE 15-44,11,2002,MALE,CHL
FOREST GLEN,CASES 2002 MALE 15-44,0,2002,MALE,CHL
NORTH PARK,CASES 2002 MALE 15-44,9,2002,MALE,CHL
NEAR WEST SIDE,CASES 2002 MALE 15-44,166,2002,MALE,CHL
ALBANY PARK,CASES 2002 MALE 15-44,39,2002,MALE,CHL
PORTAGE PARK,CASES 2002 MALE 15-44,22,2002,MALE,CHL
IRVING PARK,CASES 2002 MALE 15-44,55,2002,MALE,CHL
DUNNING,CASES 2002 MALE 15-44,10,2002,MALE,CHL
MONTCLAIRE,CASES 2002 MALE 15-44,6,2002,MALE,CHL
BELMONT CRAGIN,CASES 2002 MALE 15-44,60,2002,MALE,CHL
HERMOSA,CASES 2002 MALE 15-44,38,2002,MALE,CHL
AVONDALE,CASES 2002 MALE 15-44,35,2002,MALE,CHL
LOGAN SQUARE,CASES 2002 MALE 15-44,81,2002,MALE,CHL
HUMBOLDT PARK,CASES 2002 MALE 15-44,304,2002,MALE,CHL
WEST TOWN,CASES 2002 MALE 15-44,115,2002,MALE,CHL
AUSTIN,CASES 2002 MALE 15-44,709,2002,MALE,CHL
WEST GARFIELD PARK,CASES 2002 MALE 15-44,173,2002,MALE,CHL
EAST GARFIELD PARK,CASES 2002 MALE 15-44,181,2002,MALE,CHL
NORTH LAWNDALE,CASES 2002 MALE 15-44,264,2002,MALE,CHL
SOUTH LAWNDALE,CASES 2002 MALE 15-44,114,2002,MALE,CHL
LOWER WEST SIDE,CASES 2002 MALE 15-44,42,2002,MALE,CHL
LOOP,CASES 2002 MALE 15-44,10,2002,MALE,CHL
NEAR SOUTH SIDE,CASES 2002 MALE 15-44,46,2002,MALE,CHL
ARMOUR SQUARE,CASES 2002 MALE 15-44,19,2002,MALE,CHL
DOUGLAS,CASES 2002 MALE 15-44,92,2002,MALE,CHL
OAKLAND,CASES 2002 MALE 15-44,21,2002,MALE,CHL
FULLER PARK,CASES 2002 MALE 15-44,30,2002,MALE,CHL
GRAND BOULEVARD,CASES 2002 MALE 15-44,121,2002,MALE,CHL
KENWOOD,CASES 2002 MALE 15-44,45,2002,MALE,CHL
WASHINGTON PARK,CASES 2002 MALE 15-44,90,2002,MALE,CHL
