Community Area Name,Cases,Reported Cases,Year,Gender,STI Name
WASHINGTON HEIGHTS,CASES 2013 MALE 15-44,85,2013,MALE,CHL
MOUNT GREENWOOD,CASES 2013 MALE 15-44,8,2013,MALE,CHL
MORGAN PARK,CASES 2013 MALE 15-44,66,2013,MALE,CHL
O'HARE,CASES 2013 MALE 15-44,7,2013,MALE,CHL
EDGEWATER,CASES 2013 MALE 15-44,120,2013,MALE,CHL
ROGERS PARK,CASES 2014 MALE 15-44,139,2014,MALE,CHL
WEST RIDGE,CASES 2014 MALE 15-44,78,2014,MALE,CHL
UPTOWN,CASES 2014 MALE 15-44,189,2014,MALE,CHL
LINCOLN SQUARE,CASES 2014 MALE 15-44,34,2014,MALE,CHL
NORTH CENTER,CASES 2014 MALE 15-44,46,2014,MALE,CHL
LAKE VIEW,CASES 2014 MALE 15-44,283,2014,MALE,CHL
LINCOLN PARK,CASES 2014 MALE 15-44,112,2014,MALE,CHL
NEAR NORTH SIDE,CASES 2014 MALE 15-44,165,2014,MALE,CHL
EDISON PARK,CASES 2014 MALE 15-44,7,2014,MALE,CHL
NORWOOD PARK,CASES 2014 MALE 15-44,10,2014,MALE,CHL
JEFFERSON PARK,CASES 2014 MALE 15-44,12,2014,MALE,CHL
FOREST GLEN,CASES 2014 MALE 15-44,0,2014,MALE,CHL
NORTH PARK,CASES 2014 MALE 15-44,13,2014,MALE,CHL
NEAR WEST SIDE,CASES 2014 MALE 15-44,222,2014,MALE,CHL
ALBANY PARK,CASES 2014 MALE 15-44,50,2014,MALE,CHL
PORTAGE PARK,CASES 2014 MALE 15-44,65,2014,MALE,CHL
IRVING PARK,CASES 2014 MALE 15-44,80,2014,MALE,CHL
DUNNING,CASES 2014 MALE 15-44,30,2014,MALE,CHL
MONTCLAIRE,CASES 2014 MALE 15-44,9,2014,MALE,CHL
BELMONT CRAGIN,CASES 2014 MALE 15-44,119,2014,MALE,CHL
HERMOSA,CASES 2014 MALE 15-44,38,2014,MALE,CHL
AVONDALE,CASES 2014 MALE 15-44,69,2014,MALE,CHL
LOGAN SQUARE,CASES 2014 MALE 15-44,127,2014,MALE,CHL
HUMBOLDT PARK,CASES 2014 MALE 15-44,233,2014,MALE,CHL
WEST TOWN,CASES 2014 MALE 15-44,191,2014,MALE,CHL
AUSTIN,CASES 2014 MALE 15-44,529,2014,MALE,CHL
WEST GARFIELD PARK,CASES 2014 MALE 15-44,120,2014,MALE,CHL
EAST GARFIELD PARK,CASES 2014 MALE 15-44,153,2014,MALE,CHL
NORTH LAWNDALE,CASES 2014 MALE 15-44,281,2014,MALE,CHL
SOUTH LAWNDALE,CASES 2014 MALE 15-44,126,2014,MALE,CHL
LOWER WEST SIDE,CASES 2014 MALE 15-44,77,2014,MALE,CHL
LOOP,CASES 2014 MALE 15-44,66,2014,MALE,CHL
NEAR SOUTH SIDE,CASES 2014 MALE 15-44,34,2014,MALE,CHL
ARMOUR SQUARE,CASES 2014 MALE 15-44,15,2014,MALE,CHL
DOUGLAS,CASES 2014 MALE 15-44,59,2014,MALE,CHL
OAKLAND,CASES 2014 MALE 15-44,31,2014,MALE,CHL
FULLER PARK,CASES 2014 MALE 15-44,13,2014,MALE,CHL
GRAND BOULEVARD,CASES 2014 MALE 15-44,128,2014,MALE,CHL
KENWOOD,CASES 2014 MALE 15-44,62,2014,MALE,CHL
WASHINGTON PARK,CASES 2014 MALE 15-44,77,2014,MALE,CHL
HYDE PARK,CASES 2014 MALE 15-44,47,2014,MALE,CHL
WOODLAWN,CASES 2014 MALE 15-44,122,2014,MALE,CHL
SOUTH SHORE,CASES 2014 MALE 15-44,212,2014,MALE,CHL
CHATHAM,CASES 2014 MALE 15-44,139,2014,MALE,CHL
AVALON PARK,CASES 2014 MALE 15-44,42,2014,MALE,CHL
SOUTH CHICAGO,CASES 2014 MALE 15-44,119,2014,MALE,CHL
BURNSIDE,CASES 2014 MALE 15-44,16,2014,MALE,CHL
CALUMET HEIGHTS,CASES 2014 MALE 15-44,47,2014,MALE,CHL
ROSELAND,CASES 2014 MALE 15-44,181,2014,MALE,CHL
PULLMAN,CASES 2014 MALE 15-44,21,2014,MALE,CHL
SOUTH DEERING,CASES 2014 MALE 15-44,61,2014,MALE,CHL
EAST SIDE,CASES 2014 MALE 15-44,26,2014,MALE,CHL
WEST PULLMAN,CASES 2014 MALE 15-44,111,2014,MALE,CHL
RIVERDALE,CASES 2014 MALE 15-44,32,2014,MALE,CHL
HEGEWISCH,CASES 2014 MALE 15-44,5,2014,MALE,CHL
GARFIELD RIDGE,CASES 2014 MALE 15-44,36,2014,MALE,CHL
ARCHER HEIGHTS,CASES 2014 MALE 15-44,17,2014,MALE,CHL
BRIGHTON PARK,CASES 2014 MALE 15-44,69,2014,MALE,CHL
MCKINLEY PARK,CASES 2014 MALE 15-44,20,2014,MALE,CHL
BRIDGEPORT,CASES 2014 MALE 15-44,23,2014,MALE,CHL
NEW CITY,CASES 2014 MALE 15-44,137,2014,MALE,CHL
WEST ELSDON,CASES 2014 MALE 15-44,23,2014,MALE,CHL
GAGE PARK,CASES 2014 MALE 15-44,58,2014,MALE,CHL
CLEARING,CASES 2014 MALE 15-44,11,2014,MALE,CHL
WEST LAWN,CASES 2014 MALE 15-44,44,2014,MALE,CHL
CHICAGO LAWN,CASES 2014 MALE 15-44,215,2014,MALE,CHL
WEST ENGLEWOOD,CASES 2014 MALE 15-44,201,2014,MALE,CHL
ENGLEWOOD,CASES 2014 MALE 15-44,181,2014,MALE,CHL
GREATER GRAND CROSSING,CASES 2014 MALE 15-44,164,2014,MALE,CHL
ASHBURN,CASES 2014 MALE 15-44,91,2014,MALE,CHL
AUBURN GRESHAM,CASES 2014 MALE 15-44,197,2014,MALE,CHL
BEVERLY,CASES 2014 MALE 15-44,31,2014,MALE,CHL
WASHINGTON HEIGHTS,CASES 2014 MALE 15-44,121,2014,MALE,CHL
MOUNT GREENWOOD,CASES 2014 MALE 15-44,13,2014,MALE,CHL
MORGAN PARK,CASES 2014 MALE 15-44,60,2014,MALE,CHL
O'HARE,CASES 2014 MALE 15-44,11,2014,MALE,CHL
EDGEWATER,CASES 2014 MALE 15-44,158,2014,MALE,CHL
ROGERS PARK,CASES 2000 FEMALE 15-44,258,2000,FEMALE,CHL
WEST RIDGE,CASES 2000 FEMALE 15-44,69,2000,FEMALE,CHL
UPTOWN,CASES 2000 FEMALE 15-44,169,2000,FEMALE,CHL
LINCOLN SQUARE,CASES 2000 FEMALE 15-44,51,2000,FEMALE,CHL
NORTH CENTER,CASES 2000 FEMALE 15-44,26,2000,FEMALE,CHL
LAKE VIEW,CASES 2000 FEMALE 15-44,71,2000,FEMALE,CHL
LINCOLN PARK,CASES 2000 FEMALE 15-44,56,2000,FEMALE,CHL
NEAR NORTH SIDE,CASES 2000 FEMALE 15-44,171,2000,FEMALE,CHL
EDISON PARK,CASES 2000 FEMALE 15-44,0,2000,FEMALE,CHL
NORWOOD PARK,CASES 2000 FEMALE 15-44,12,2000,FEMALE,CHL
JEFFERSON PARK,CASES 2000 FEMALE 15-44,5,2000,FEMALE,CHL
FOREST GLEN,CASES 2000 FEMALE 15-44,0,2000,FEMALE,CHL
NORTH PARK,CASES 2000 FEMALE 15-44,11,2000,FEMALE,CHL
NEAR WEST SIDE,CASES 2000 FEMALE 15-44,340,2000,FEMALE,CHL
ALBANY PARK,CASES 2000 FEMALE 15-44,88,2000,FEMALE,CHL
PORTAGE PARK,CASES 2000 FEMALE 15-44,38,2000,FEMALE,CHL
IRVING PARK,CASES 2000 FEMALE 15-44,81,2000,FEMALE,CHL
DUNNING,CASES 2000 FEMALE 15-44,16,2000,FEMALE,CHL
MONTCLAIRE,CASES 2000 FEMALE 15-44,16,2000,FEMALE,CHL
BELMONT CRAGIN,CASES 2000 FEMALE 15-44,156,2000,FEMALE,CHL
HERMOSA,CASES 2000 FEMALE 15-44,91,2000,FEMALE,CHL
AVONDALE,CASES 2000 FEMALE 15-44,66,2000,FEMALE,CHL
LOGAN SQUARE,CASES 2000 FEMALE 15-44,193,2000,FEMALE,CHL
HUMBOLDT PARK,CASES 2000 FEMALE 15-44,508,2000,FEMALE,CHL
WEST TOWN,CASES 2000 FEMALE 15-44,248,2000,FEMALE,CHL
AUSTIN,CASES 2000 FEMALE 15-44,1136,2000,FEMALE,CHL
WEST GARFIELD PARK,CASES 2000 FEMALE 15-44,270,2000,FEMALE,CHL
EAST GARFIELD PARK,CASES 2000 FEMALE 15-44,266,2000,FEMALE,CHL
NORTH LAWNDALE,CASES 2000 FEMALE 15-44,550,2000,FEMALE,CHL
SOUTH LAWNDALE,CASES 2000 FEMALE 15-44,278,2000,FEMALE,CHL
LOWER WEST SIDE,CASES 2000 FEMALE 15-44,118,2000,FEMALE,CHL
LOOP,CASES 2000 FEMALE 15-44,10,2000,FEMALE,CHL
NEAR SOUTH SIDE,CASES 2000 FEMALE 15-44,94,2000,FEMALE,CHL
ARMOUR SQUARE,CASES 2000 FEMALE 15-44,28,2000,FEMALE,CHL
DOUGLAS,CASES 2000 FEMALE 15-44,254,2000,FEMALE,CHL
OAKLAND,CASES 2000 FEMALE 15-44,76,2000,FEMALE,CHL
FULLER PARK,CASES 2000 FEMALE 15-44,40,2000,FEMALE,CHL
GRAND BOULEVARD,CASES 2000 FEMALE 15-44,371,2000,FEMALE,CHL
KENWOOD,CASES 2000 FEMALE 15-44,125,2000,FEMALE,CHL
WASHINGTON PARK,CASES 2000 FEMALE 15-44,208,2000,FEMALE,CHL
HYDE PARK,CASES 2000 FEMALE 15-44,73,2000,FEMALE,CHL
WOODLAWN,CASES 2000 FEMALE 15-44,326,2000,FEMALE,CHL
SOUTH SHORE,CASES 2000 FEMALE 15-44,610,2000,FEMALE,CHL
CHATHAM,CASES 2000 FEMALE 15-44,296,2000,FEMALE,CHL
AVALON PARK,CASES 2000 FEMALE 15-44,69,2000,FEMALE,CHL
SOUTH CHICAGO,CASES 2000 FEMALE 15-44,315,2000,FEMALE,CHL
BURNSIDE,CASES 2000 FEMALE 15-44,27,2000,FEMALE,CHL
CALUMET HEIGHTS,CASES 2000 FEMALE 15-44,90,2000,FEMALE,CHL
ROSELAND,CASES 2000 FEMALE 15-44,494,2000,FEMALE,CHL
PULLMAN,CASES 2000 FEMALE 15-44,74,2000,FEMALE,CHL
SOUTH DEERING,CASES 2000 FEMALE 15-44,106,2000,FEMALE,CHL
EAST SIDE,CASES 2000 FEMALE 15-44,36,2000,FEMALE,CHL
WEST PULLMAN,CASES 2000 FEMALE 15-44,347,2000,FEMALE,CHL
RIVERDALE,CASES 2000 FEMALE 15-44,108,2000,FEMALE,CHL
HEGEWISCH,CASES 2000 FEMALE 15-44,11,2000,FEMALE,CHL
GARFIELD RIDGE,CASES 2000 FEMALE 15-44,51,2000,FEMALE,CHL
ARCHER HEIGHTS,CASES 2000 FEMALE 15-44,13,2000,FEMALE,CHL
BRIGHTON PARK,CASES 2000 FEMALE 15-44,79,2000,FEMALE,CHL
MCKINLEY PARK,CASES 2000 FEMALE 15-44,27,2000,FEMALE,CHL
BRIDGEPORT,CASES 2000 FEMALE 15-44,43,2000,FEMALE,CHL
NEW CITY,CASES 2000 FEMALE 15-44,293,2000,FEMALE,CHL
WEST ELSDON,CASES 2000 FEMALE 15-44,12,2000,FEMALE,CHL
GAGE PARK,CASES 2000 FEMALE 15-44,89,2000,FEMALE,CHL
CLEARING,CASES 2000 FEMALE 15-44,11,2000,FEMALE,CHL
WEST LAWN,CASES 2000 FEMALE 15-44,28,2000,FEMALE,CHL
CHICAGO LAWN,CASES 2000 FEMALE 15-44,377,2000,FEMALE,CHL
WEST ENGLEWOOD,CASES 2000 FEMALE 15-44,559,2000,FEMALE,CHL
ENGLEWOOD,CASES 2000 FEMALE 15-44,527,2000,FEMALE,CHL
GREATER GRAND CROSSING,CASES 2000 FEMALE 15-44,393,2000,FEMALE,CHL
ASHBURN,CASES 2000 FEMALE 15-44,106,2000,FEMALE,CHL
AUBURN GRESHAM,CASES 2000 FEMALE 15-44,459,2000,FEMALE,CHL
BEVERLY,CASES 2000 FEMALE 15-44,32,2000,FEMALE,CHL
WASHINGTON HEIGHTS,CASES 2000 FEMALE 15-44,203,2000,FEMALE,CHL
MOUNT GREENWOOD,CASES 2000 FEMALE 15-44,5,2000,FEMALE,CHL
MORGAN PARK,CASES 2000 FEMALE 15-44,123,2000,FEMALE,CHL
O'HARE,CASES 2000 FEMALE 15-44,10,2000,FEMALE,CHL
EDGEWATER,CASES 2000 FEMALE 15-44,106,2000,FEMALE,CHL
ROGERS PARK,CASES 2001 FEMALE 15-44,217,2001,FEMALE,CHL
WEST RIDGE,CASES 2001 FEMALE 15-44,66,2001,FEMALE,CHL
UPTOWN,CASES 2001 FEMALE 15-44,157,2001,FEMALE,CHL
LINCOLN SQUARE,CASES 2001 FEMALE 15-44,59,2001,FEMALE,CHL
NORTH CENTER,CASES 2001 FEMALE 15-44,35,2001,FEMALE,CHL
LAKE VIEW,CASES 2001 FEMALE 15-44,69,2001,FEMALE,CHL
LINCOLN PARK,CASES 2001 FEMALE 15-44,53,2001,FEMALE,CHL
NEAR NORTH SIDE,CASES 2001 FEMALE 15-44,214,2001,FEMALE,CHL
EDISON PARK,CASES 2001 FEMALE 15-44,0,2001,FEMALE,CHL
NORWOOD PARK,CASES 2001 FEMALE 15-44,10,2001,FEMALE,CHL
JEFFERSON PARK,CASES 2001 FEMALE 15-44,8,2001,FEMALE,CHL
FOREST GLEN,CASES 2001 FEMALE 15-44,0,2001,FEMALE,CHL
NORTH PARK,CASES 2001 FEMALE 15-44,7,2001,FEMALE,CHL
NEAR WEST SIDE,CASES 2001 FEMALE 15-44,359,2001,FEMALE,CHL
ALBANY PARK,CASES 2001 FEMALE 15-44,76,2001,FEMALE,CHL
PORTAGE PARK,CASES 2001 FEMALE 15-44,65,2001,FEMALE,CHL
IRVING PARK,CASES 2001 FEMALE 15-44,88,2001,FEMALE,CHL
DUNNING,CASES 2001 FEMALE 15-44,19,2001,FEMALE,CHL
MONTCLAIRE,CASES 2001 FEMALE 15-44,9,2001,FEMALE,CHL
BELMONT CRAGIN,CASES 2001 FEMALE 15-44,167,2001,FEMALE,CHL
HERMOSA,CASES 2001 FEMALE 15-44,60,2001,FEMALE,CHL
AVONDALE,CASES 2001 FEMALE 15-44,73,2001,FEMALE,CHL
LOGAN SQUARE,CASES 2001 FEMALE 15-44,211,2001,FEMALE,CHL
HUMBOLDT PARK,CASES 2001 FEMALE 15-44,528,2001,FEMALE,CHL
WEST TOWN,CASES 2001 FEMALE 15-44,218,2001,FEMALE,CHL
AUSTIN,CASES 2001 FEMALE 15-44,1144,2001,FEMALE,CHL
WEST GARFIELD PARK,CASES 2001 FEMALE 15-44,320,2001,FEMALE,CHL
EAST GARFIELD PARK,CASES 2001 FEMALE 15-44,287,2001,FEMALE,CHL
NORTH LAWNDALE,CASES 2001 FEMALE 15-44,598,2001,FEMALE,CHL
SOUTH LAWNDALE,CASES 2001 FEMALE 15-44,326,2001,FEMALE,CHL
LOWER WEST SIDE,CASES 2001 FEMALE 15-44,135,2001,FEMALE,CHL
LOOP,CASES 2001 FEMALE 15-44,17,2001,FEMALE,CHL
NEAR SOUTH SIDE,CASES 2001 FEMALE 15-44,70,2001,FEMALE,CHL
ARMOUR SQUARE,CASES 2001 FEMALE 15-44,30,2001,FEMALE,CHL
DOUGLAS,CASES 2001 FEMALE 15-44,236,2001,FEMALE,CHL
OAKLAND,CASES 2001 FEMALE 15-44,89,2001,FEMALE,CHL
FULLER PARK,CASES 2001 FEMALE 15-44,45,2001,FEMALE,CHL
GRAND BOULEVARD,CASES 2001 FEMALE 15-44,380,2001,FEMALE,CHL
KENWOOD,CASES 2001 FEMALE 15-44,127,2001,FEMALE,CHL
WASHINGTON PARK,CASES 2001 FEMALE 15-44,258,2001,FEMALE,CHL
HYDE PARK,CASES 2001 FEMALE 15-44,79,2001,FEMALE,CHL
WOODLAWN,CASES 2001 FEMALE 15-44,320,2001,FEMALE,CHL
SOUTH SHORE,CASES 2001 FEMALE 15-44,688,2001,FEMALE,CHL
CHATHAM,CASES 2001 FEMALE 15-44,276,2001,FEMALE,CHL
AVALON PARK,CASES 2001 FEMALE 15-44,76,2001,FEMALE,CHL
SOUTH CHICAGO,CASES 2001 FEMALE 15-44,336,2001,FEMALE,CHL
BURNSIDE,CASES 2001 FEMALE 15-44,32,2001,FEMALE,CHL
CALUMET HEIGHTS,CASES 2001 FEMALE 15-44,115,2001,FEMALE,CHL
ROSELAND,CASES 2001 FEMALE 15-44,486,2001,FEMALE,CHL
PULLMAN,CASES 2001 FEMALE 15-44,78,2001,FEMALE,CHL
SOUTH DEERING,CASES 2001 FEMALE 15-44,125,2001,FEMALE,CHL
EAST SIDE,CASES 2001 FEMALE 15-44,53,2001,FEMALE,CHL
WEST PULLMAN,CASES 2001 FEMALE 15-44,352,2001,FEMALE,CHL
RIVERDALE,CASES 2001 FEMALE 15-44,91,2001,FEMALE,CHL
HEGEWISCH,CASES 2001 FEMALE 15-44,15,2001,FEMALE,CHL
GARFIELD RIDGE,CASES 2001 FEMALE 15-44,48,2001,FEMALE,CHL
ARCHER HEIGHTS,CASES 2001 FEMALE 15-44,9,2001,FEMALE,CHL
BRIGHTON PARK,CASES 2001 FEMALE 15-44,102,2001,FEMALE,CHL
MCKINLEY PARK,CASES 2001 FEMALE 15-44,36,2001,FEMALE,CHL
BRIDGEPORT,CASES 2001 FEMALE 15-44,48,2001,FEMALE,CHL
NEW CITY,CASES 2001 FEMALE 15-44,342,2001,FEMALE,CHL
WEST ELSDON,CASES 2001 FEMALE 15-44,19,2001,FEMALE,CHL
GAGE PARK,CASES 2001 FEMALE 15-44,124,2001,FEMALE,CHL
CLEARING,CASES 2001 FEMALE 15-44,20,2001,FEMALE,CHL
WEST LAWN,CASES 2001 FEMALE 15-44,53,2001,FEMALE,CHL
CHICAGO LAWN,CASES 2001 FEMALE 15-44,434,2001,FEMALE,CHL
WEST ENGLEWOOD,CASES 2001 FEMALE 15-44,643,2001,FEMALE,CHL
ENGLEWOOD,CASES 2001 FEMALE 15-44,618,2001,FEMALE,CHL
GREATER GRAND CROSSING,CASES 2001 FEMALE 15-44,444,2001,FEMALE,CHL
ASHBURN,CASES 2001 FEMALE 15-44,121,2001,FEMALE,CHL
AUBURN GRESHAM,CASES 2001 FEMALE 15-44,496,2001,FEMALE,CHL
BEVERLY,CASES 2001 FEMALE 15-44,36,2001,FEMALE,CHL
WASHINGTON HEIGHTS,CASES 2001 FEMALE 15-44,214,2001,FEMALE,CHL
MOUNT GREENWOOD,CASES 2001 FEMALE 15-44,10,2001,FEMALE,CHL
MORGAN PARK,CASES 2001 FEMALE 15-44,91,2001,FEMALE,CHL
O'HARE,CASES 2001 FEMALE 15-44,11,2001,FEMALE,CHL
EDGEWATER,CASES 2001 FEMALE 15-44,102,2001,FEMALE,CHL
ROGERS PARK,CASES 2002 FEMALE 15-44,229,2002,FEMALE,CHL
WEST RIDGE,CASES 2002 FEMALE 15-44,71,2002,FEMALE,CHL
UPTOWN,CASES 2002 FEMALE 15-44,133,2002,FEMALE,CHL
LINCOLN SQUARE,CASES 2002 FEMALE 15-44,45,2002,FEMALE,CHL
NORTH CENTER,CASES 2002 FEMALE 15-44,28,2002,FEMALE,CHL
LAKE VIEW,CASES 2002 FEMALE 15-44,88,2002,FEMALE,CHL
LINCOLN PARK,CASES 2002 FEMALE 15-44,65,2002,FEMALE,CHL
NEAR NORTH SIDE,CASES 2002 FEMALE 15-44,207,2002,FEMALE,CHL
EDISON PARK,CASES 2002 FEMALE 15-44,0,2002,FEMALE,CHL
NORWOOD PARK,CASES 2002 FEMALE 15-44,21,2002,FEMALE,CHL
JEFFERSON PARK,CASES 2002 FEMALE 15-44,18,2002,FEMALE,CHL
FOREST GLEN,CASES 2002 FEMALE 15-44,9,2002,FEMALE,CHL
NORTH PARK,CASES 2002 FEMALE 15-44,13,2002,FEMALE,CHL
NEAR WEST SIDE,CASES 2002 FEMALE 15-44,293,2002,FEMALE,CHL
ALBANY PARK,CASES 2002 FEMALE 15-44,108,2002,FEMALE,CHL
PORTAGE PARK,CASES 2002 FEMALE 15-44,56,2002,FEMALE,CHL
IRVING PARK,CASES 2002 FEMALE 15-44,105,2002,FEMALE,CHL
DUNNING,CASES 2002 FEMALE 15-44,21,2002,FEMALE,CHL
MONTCLAIRE,CASES 2002 FEMALE 15-44,15,2002,FEMALE,CHL
BELMONT CRAGIN,CASES 2002 FEMALE 15-44,177,2002,FEMALE,CHL
HERMOSA,CASES 2002 FEMALE 15-44,87,2002,FEMALE,CHL
AVONDALE,CASES 2002 FEMALE 15-44,84,2002,FEMALE,CHL
LOGAN SQUARE,CASES 2002 FEMALE 15-44,209,2002,FEMALE,CHL
HUMBOLDT PARK,CASES 2002 FEMALE 15-44,497,2002,FEMALE,CHL
WEST TOWN,CASES 2002 FEMALE 15-44,226,2002,FEMALE,CHL
AUSTIN,CASES 2002 FEMALE 15-44,1172,2002,FEMALE,CHL
WEST GARFIELD PARK,CASES 2002 FEMALE 15-44,250,2002,FEMALE,CHL
EAST GARFIELD PARK,CASES 2002 FEMALE 15-44,262,2002,FEMALE,CHL
NORTH LAWNDALE,CASES 2002 FEMALE 15-44,581,2002,FEMALE,CHL
SOUTH LAWNDALE,CASES 2002 FEMALE 15-44,268,2002,FEMALE,CHL
LOWER WEST SIDE,CASES 2002 FEMALE 15-44,124,2002,FEMALE,CHL
LOOP,CASES 2002 FEMALE 15-44,18,2002,FEMALE,CHL
NEAR SOUTH SIDE,CASES 2002 FEMALE 15-44,92,2002,FEMALE,CHL
ARMOUR SQUARE,CASES 2002 FEMALE 15-44,42,2002,FEMALE,CHL
DOUGLAS,CASES 2002 FEMALE 15-44,184,2002,FEMALE,CHL
OAKLAND,CASES 2002 FEMALE 15-44,60,2002,FEMALE,CHL
FULLER PARK,CASES 2002 FEMALE 15-44,47,2002,FEMALE,CHL
GRAND BOULEVARD,CASES 2002 FEMALE 15-44,342,2002,FEMALE,CHL
KENWOOD,CASES 2002 FEMALE 15-44,144,2002,FEMALE,CHL
WASHINGTON PARK,CASES 2002 FEMALE 15-44,227,2002,FEMALE,CHL
HYDE PARK,CASES 2002 FEMALE 15-44,70,2002,FEMALE,CHL
WOODLAWN,CASES 2002 FEMALE 15-44,334,2002,FEMALE,CHL
SOUTH SHORE,CASES 2002 FEMALE 15-44,618,2002,FEMALE,CHL
CHATHAM,CASES 2002 FEMALE 15-44,302,2002,FEMALE,CHL
AVALON PARK,CASES 2002 FEMALE 15-44,73,2002,FEMALE,CHL
SOUTH CHICAGO,CASES 2002 FEMALE 15-44,330,2002,FEMALE,CHL
BURNSIDE,CASES 2002 FEMALE 15-44,24,2002,FEMALE,CHL
CALUMET HEIGHTS,CASES 2002 FEMALE 15-44,88,2002,FEMALE,CHL
ROSELAND,CASES 2002 FEMALE 15-44,474,2002,FEMALE,CHL
PULLMAN,CASES 2002 FEMALE 15-44,68,2002,FEMALE,CHL
SOUTH DEERING,CASES 2002 FEMALE 15-44,111,2002,FEMALE,CHL
EAST SIDE,CASES 2002 FEMALE 15-44,53,2002,FEMALE,CHL
WEST PULLMAN,CASES 2002 FEMALE 15-44,335,2002,FEMALE,CHL
RIVERDALE,CASES 2002 FEMALE 15-44,77,2002,FEMALE,CHL
HEGEWISCH,CASES 2002 FEMALE 15-44,16,2002,FEMALE,CHL
GARFIELD RIDGE,CASES 2002 FEMALE 15-44,67,2002,FEMALE,CHL
ARCHER HEIGHTS,CASES 2002 FEMALE 15-44,18,2002,FEMALE,CHL
BRIGHTON PARK,CASES 2002 FEMALE 15-44,89,2002,FEMALE,CHL
MCKINLEY PARK,CASES 2002 FEMALE 15-44,33,2002,FEMALE,CHL
BRIDGEPORT,CASES 2002 FEMALE 15-44,36,2002,FEMALE,CHL
NEW CITY,CASES 2002 FEMALE 15-44,373,2002,FEMALE,CHL
WEST ELSDON,CASES 2002 FEMALE 15-44,21,2002,FEMALE,CHL
GAGE PARK,CASES 2002 FEMALE 15-44,118,2002,FEMALE,CHL
CLEARING,CASES 2002 FEMALE 15-44,24,2002,FEMALE,CHL
WEST LAWN,CASES 2002 FEMALE 15-44,48,2002,FEMALE,CHL
CHICAGO LAWN,CASES 2002 FEMALE 15-44,442,2002,FEMALE,CHL
WEST ENGLEWOOD,CASES 2002 FEMALE 15-44,547,2002,FEMALE,CHL
ENGLEWOOD,CASES 2002 FEMALE 15-44,640,2002,FEMALE,CHL
GREATER GRAND CROSSING,CASES 2002 FEMALE 15-44,436,2002,FEMALE,CHL
ASHBURN,CASES 2002 FEMALE 15-44,120,2002,FEMALE,CHL
AUBURN GRESHAM,CASES 2002 FEMALE 15-44,526,2002,FEMALE,CHL
BEVERLY,CASES 2002 FEMALE 15-44,44,2002,FEMALE,CHL
WASHINGTON HEIGHTS,CASES 2002 FEMALE 15-44,219,2002,FEMALE,CHL
MOUNT GREENWOOD,CASES 2002 FEMALE 15-44,10,2002,FEMALE,CHL
MORGAN PARK,CASES 2002 FEMALE 15-44,109,2002,FEMALE,CHL
O'HARE,CASES 2002 FEMALE 15-44,0,2002,FEMALE,CHL
EDGEWATER,CASES 2002 FEMALE 15-44,107,2002,FEMALE,CHL
ROGERS PARK,CASES 2003 FEMALE 15-44,224,2003,FEMALE,CHL
WEST RIDGE,CASES 2003 FEMALE 15-44,67,2003,FEMALE,CHL
UPTOWN,CASES 2003 FEMALE 15-44,127,2003,FEMALE,CHL
LINCOLN SQUARE,CASES 2003 FEMALE 15-44,43,2003,FEMALE,CHL
NORTH CENTER,CASES 2003 FEMALE 15-44,30,2003,FEMALE,CHL
LAKE VIEW,CASES 2003 FEMALE 15-44,67,2003,FEMALE,CHL
LINCOLN PARK,CASES 2003 FEMALE 15-44,57,2003,FEMALE,CHL
NEAR NORTH SIDE,CASES 2003 FEMALE 15-44,227,2003,FEMALE,CHL
EDISON PARK,CASES 2003 FEMALE 15-44,0,2003,FEMALE,CHL
NORWOOD PARK,CASES 2003 FEMALE 15-44,11,2003,FEMALE,CHL
JEFFERSON PARK,CASES 2003 FEMALE 15-44,16,2003,FEMALE,CHL
FOREST GLEN,CASES 2003 FEMALE 15-44,7,2003,FEMALE,CHL
NORTH PARK,CASES 2003 FEMALE 15-44,15,2003,FEMALE,CHL
NEAR WEST SIDE,CASES 2003 FEMALE 15-44,314,2003,FEMALE,CHL
ALBANY PARK,CASES 2003 FEMALE 15-44,105,2003,FEMALE,CHL
PORTAGE PARK,CASES 2003 FEMALE 15-44,68,2003,FEMALE,CHL
IRVING PARK,CASES 2003 FEMALE 15-44,96,2003,FEMALE,CHL
DUNNING,CASES 2003 FEMALE 15-44,23,2003,FEMALE,CHL
MONTCLAIRE,CASES 2003 FEMALE 15-44,18,2003,FEMALE,CHL
BELMONT CRAGIN,CASES 2003 FEMALE 15-44,193,2003,FEMALE,CHL
HERMOSA,CASES 2003 FEMALE 15-44,78,2003,FEMALE,CHL
AVONDALE,CASES 2003 FEMALE 15-44,102,2003,FEMALE,CHL
LOGAN SQUARE,CASES 2003 FEMALE 15-44,243,2003,FEMALE,CHL
HUMBOLDT PARK,CASES 2003 FEMALE 15-44,538,2003,FEMALE,CHL
WEST TOWN,CASES 2003 FEMALE 15-44,252,2003,FEMALE,CHL
AUSTIN,CASES 2003 FEMALE 15-44,1270,2003,FEMALE,CHL
WEST GARFIELD PARK,CASES 2003 FEMALE 15-44,283,2003,FEMALE,CHL
EAST GARFIELD PARK,CASES 2003 FEMALE 15-44,303,2003,FEMALE,CHL
NORTH LAWNDALE,CASES 2003 FEMALE 15-44,661,2003,FEMALE,CHL
SOUTH LAWNDALE,CASES 2003 FEMALE 15-44,360,2003,FEMALE,CHL
