,Community Area Name,CASES 2001 Male 15-44,CASES 2002 Male 15-44,CASES 2003 Male 15-44,CASES 2004 Male 15-44,CASES 2005 Male 15-44,CASES 2006 Male 15-44,CASES 2007 Male 15-44,CASES 2008 Male 15-44,CASES 2009 Male 15-44,CASES 2010 Male 15-44,CASES 2011 Male 15-44,CASES 2012 MALE 15-44,CASES 2013 Male 15-44,CASES 2014 Male 15-44,Cases 2000 Female 15-44,Cases 2001 Female 15-44,Cases 2002 Female 15-44,Cases 2003 Female 15-44,Cases 2004 Female 15-44,Cases 2005 Female 15-44,Cases 2006 Female 15-44,Cases 2007 Female 15-44,Cases 2008 Female 15-44,Cases 2009 Female 15-44,Cases 2010 Female 15-44,Cases 2011 Female 15-44,Cases 2012 Female 15-44,Cases 2013 Female 15-44,Cases 2014 Female 15-44
25,Austin,450.0,709.0,503.0,370.0,494.0,586.0,399.0,390.0,314.0,421.0,590.0,626.0,514.0,529.0,1136.0,1144.0,1172.0,1270.0,1349.0,1374.0,1509.0,1413.0,1436,1474.0,1413.0,1492.0,1548,1441,1298
26,West Garfield Park,136.0,173.0,113.0,80.0,141.0,128.0,80.0,93.0,78.0,94.0,153.0,143.0,129.0,120.0,270.0,320.0,250.0,283.0,276.0,339.0,351.0,325.0,371,351.0,331.0,385.0,406,377,359
27,East Garfield Park,104.0,181.0,102.0,73.0,130.0,132.0,89.0,107.0,119.0,164.0,157.0,175.0,158.0,153.0,266.0,287.0,262.0,303.0,296.0,347.0,394.0,318.0,323,309.0,341.0,402.0,400,388,317
28,North Lawndale,200.0,264.0,216.0,145.0,246.0,244.0,193.0,174.0,182.0,250.0,268.0,282.0,252.0,281.0,550.0,598.0,581.0,661.0,563.0,604.0,707.0,642.0,643,687.0,634.0,751.0,800,724,736
29,South Lawndale,78.0,114.0,98.0,68.0,85.0,87.0,77.0,92.0,87.0,101.0,140.0,135.0,125.0,126.0,278.0,326.0,268.0,360.0,304.0,330.0,383.0,365.0,341,408.0,351.0,399.0,415,404,406
30,Lower West Side,25.0,42.0,35.0,34.0,35.0,41.0,23.0,43.0,33.0,47.0,50.0,58.0,50.0,77.0,118.0,135.0,124.0,145.0,119.0,117.0,124.0,127.0,123,113.0,135.0,137.0,157,138,165
31,Loop,11.0,10.0,14.0,11.0,31.0,16.0,14.0,23.0,16.0,34.0,38.0,46.0,58.0,66.0,10.0,17.0,18.0,22.0,25.0,20.0,36.0,37.0,50,46.0,55.0,64.0,62,62,76
32,Near South Side,31.0,46.0,22.0,25.0,16.0,26.0,16.0,18.0,24.0,28.0,32.0,29.0,34.0,34.0,94.0,70.0,92.0,82.0,75.0,80.0,78.0,58.0,56,64.0,45.0,62.0,59,49,49
33,Armour Square,11.0,19.0,16.0,5.0,11.0,12.0,,10.0,7.0,12.0,12.0,14.0,22.0,15.0,28.0,30.0,42.0,27.0,26.0,21.0,15.0,20.0,26,34.0,38.0,44.0,47,50,61
34,Douglas,78.0,92.0,73.0,52.0,72.0,66.0,58.0,41.0,31.0,47.0,57.0,79.0,55.0,59.0,254.0,236.0,184.0,183.0,178.0,185.0,157.0,135.0,124,147.0,137.0,144.0,179,141,175
35,Oakland,29.0,21.0,19.0,18.0,23.0,18.0,17.0,15.0,13.0,16.0,36.0,30.0,21.0,31.0,76.0,89.0,60.0,66.0,61.0,52.0,54.0,68.0,56,78.0,69.0,70.0,81,80,90
36,Fuller Park,13.0,30.0,13.0,11.0,22.0,18.0,17.0,12.0,7.0,10.0,16.0,21.0,18.0,13.0,40.0,45.0,47.0,46.0,42.0,45.0,39.0,34.0,49,45.0,33.0,45.0,56,47,32
37,Grand Boulevard,104.0,121.0,108.0,63.0,74.0,94.0,82.0,69.0,88.0,86.0,126.0,125.0,109.0,128.0,371.0,380.0,342.0,338.0,279.0,208.0,282.0,247.0,269,298.0,248.0,344.0,338,301,266
38,Kenwood,36.0,45.0,54.0,43.0,44.0,43.0,45.0,43.0,35.0,31.0,55.0,39.0,44.0,62.0,125.0,127.0,144.0,128.0,133.0,112.0,104.0,108.0,127,112.0,101.0,137.0,128,116,118
39,Washington Park,80.0,90.0,69.0,39.0,60.0,82.0,51.0,47.0,49.0,53.0,97.0,87.0,98.0,77.0,208.0,258.0,227.0,231.0,245.0,193.0,267.0,227.0,209,214.0,221.0,217.0,263,218,229
40,Hyde Park,28.0,31.0,31.0,36.0,29.0,40.0,29.0,27.0,14.0,27.0,32.0,34.0,28.0,47.0,73.0,79.0,70.0,73.0,90.0,75.0,68.0,72.0,80,54.0,62.0,62.0,70,63,57
41,Woodlawn,92.0,146.0,117.0,71.0,104.0,117.0,99.0,92.0,60.0,83.0,133.0,122.0,120.0,122.0,326.0,320.0,334.0,346.0,353.0,354.0,374.0,382.0,356,348.0,334.0,363.0,335,301,255
42,South Shore,183.0,268.0,210.0,158.0,205.0,211.0,191.0,138.0,158.0,177.0,214.0,246.0,194.0,212.0,610.0,688.0,618.0,608.0,589.0,625.0,627.0,638.0,592,650.0,594.0,697.0,638,557,650
43,Chatham,98.0,105.0,120.0,97.0,153.0,128.0,114.0,88.0,68.0,97.0,162.0,131.0,144.0,139.0,296.0,276.0,302.0,323.0,321.0,362.0,368.0,378.0,339,358.0,339.0,362.0,369,320,303
